Time , q_dni , Wind_vel , T_ambient , Q_loss , DeltaH , Eff , T_out , T_in
580 , 239.952 , 1.2 , 31.2467 , 1207.62 , 124.398 , 0.074777 , 230.918 , 230.486 , 
585 , 300.553 , 1.4 , 31.12 , 1228.87 , 284.004 , 0.136295 , 231.944 , 230.959 , 
590 , 262.15 , 0.4 , 30.9933 , 1228.39 , 176.529 , 0.0971278 , 232.464 , 231.853 , 
595 , 202.209 , 0.5 , 30.8667 , 1218.08 , 7.48272 , 0.00533748 , 232.427 , 232.401 , 
600 , 118.765 , 0.3 , 30.74 , 1196.4 , -208.319 , 0 , 231.634 , 232.356 , 
605 , 128.176 , 1 , 30.6133 , 1191.44 , -185.833 , 0 , 231.024 , 231.668 , 
610 , 107.863 , 0.6 , 30.4867 , 1179.02 , -237.988 , 0 , 230.163 , 230.989 , 
615 , 100.281 , 0.8 , 30.36 , 1168.32 , -256.603 , 0 , 229.264 , 230.156 , 
620 , 81.9564 , 2.6 , 30.2333 , 1153.91 , -303.321 , 0 , 228.185 , 229.24 , 
625 , 65.4527 , 1.7 , 30.1067 , 1138.36 , -344.999 , 0 , 226.968 , 228.171 , 
630 , 62.3968 , 1.1 , 29.98 , 1125.26 , -349.316 , 0 , 225.751 , 226.971 , 
635 , 35.8187 , 1.3 , 29.8533 , 1105.34 , -416.048 , 0 , 224.268 , 225.723 , 
640 , 37.9736 , 0.1 , 29.7267 , 1091.38 , -405.852 , 0 , 222.864 , 224.287 , 
645 , 28.7289 , 0.8 , 29.6 , 1074.67 , -424.248 , 0 , 221.369 , 222.859 , 
650 , 25.2607 , 1.1 , 29.4733 , 1059.07 , -427.698 , 0 , 219.872 , 221.377 , 
655 , 21.3085 , 1.5 , 29.3467 , 1043.35 , -431.916 , 0 , 218.357 , 219.88 , 
660 , 9.84404 , 1.5 , 29.22 , 1025.58 , -454.738 , 0 , 216.752 , 218.36 , 
665 , 3.16288 , 0.9 , 29.0933 , 1008.34 , -466.734 , 0 , 215.113 , 216.767 , 
670 , 3.21987 , 0.3 , 28.9667 , 992.849 , -459.852 , 0 , 213.505 , 215.138 , 
675 , 4.35668 , 0.4 , 28.84 , 978.073 , -449.647 , 0 , 211.928 , 213.528 , 
680 , 2.98876 , 1.1 , 28.7133 , 963.028 , -446.346 , 0 , 210.359 , 211.95 , 
685 , 3.01665 , 0.7 , 28.5867 , 948.63 , -439.598 , 0 , 208.814 , 210.386 , 
690 , 3.59053 , 0.3 , 28.46 , 934.748 , -431.432 , 0 , 207.298 , 208.843 , 
695 , 3.48318 , 0.4 , 28.3333 , 921.053 , -425.238 , 0 , 205.801 , 207.327 , 
700 , 3.78033 , 0.8 , 28.2067 , 907.791 , -418.177 , 0 , 204.328 , 205.832 , 
705 , 4.10799 , 1.1 , 28.08 , 894.879 , -411.173 , 0 , 202.879 , 204.361 , 
710 , 4.59056 , 0.9 , 27.9533 , 882.343 , -403.926 , 0 , 201.455 , 202.914 , 
715 , 10.0446 , 0.3 , 27.8267 , 871.607 , -383.807 , 0 , 200.106 , 201.496 , 
720 , 0 , 0.4 , 27.7 , 857.046 , -404.061 , 0 , 198.664 , 200.129 , 
730 , 0 , 0.4 , 27.7 , 857.046 , -404.061 , 0 , 198.664 , 200.129 , 
